word,def,sentiment,
Se'quent.,1. Following; succeeding. 2. Consequential.,,
Se'quent.,A follower.,,
To SEQUE'STER.,1. To separate from others for the sake of privacy. 2. To put aside; to remove. 3. To withdraw; to segregate. 4. To set aside from the use of the owner to that of others. 5. To deprive of possessions.,,
Seque'strable.,1. Subject to privation. 2. Capable of separation.,,
To Seque'strate.,To sequester; to separate from company.,,
Sequestra'tion.,1. Separation; retirement. 2. Disunion; disjunction. 3. State of being set aside. 4. Deprivation of the use and profits of a possession.,,
Sequestra'tor.,One who takes from a man the profit of his possessions.,,
Sera'glio.,A house of women kept for debauchery.,,
SE'RAPH.,One of the orders of angels.,,
Sera'phical. Sera'phick.,Angelick; angelical.,,
Se'raphim.,Angels of one of the heavenly orders.,,
Sere.,Dry; withered; no longer green.,,
Sere.,Claw; talon.,,
Serena'de.,Musick or songs with which ladies are entertained by their lovers in the night.,,
To Serena'de.,To entertain with nocturnal musick.,,
SERE'NE.,1. Calm; placid; quiet. 2. Unruffled; undisturbed; even of temper; peaceful or calm of mind; shewing a calm mind.,,
To Sere'ne.,1. To calm; to quiet. 2. To clear; to brighten.,,
Sere'ne.,A calm damp evening.,,
Sere'nely.,1. Calmly; quietly. 2. With unruffled temper; coolly.,,
Sere'neness.,Serenity.,,
Sere'nitude.,Calmness; coolness of mind.,,
Sere'nity.,1. Calmness; temperature. 2. Peace; quietness; not disturbance. 3. Evenness of temper; coolness of mind.,,
Serge.,A kind of cloath.,,
SE'RGEANT.,1. An officer whose business it is to execute the commands of magistrates. 2. A petty officer in the army. 3. A lawyer of the highest rank under a judge. 4. It is a title given to some of the king's servants:,,
Se'rgeantry.,"Grand sergeantry is that where one holdeth lands of the king by service, which he ought to do in his own person unto him: as to bear the king's banner or his spear, or to lead his host, or to be his marshal, or to blow a horn, when he seeth his enemies invade the land; or to find a man at arms to fight within the four seas, or else to do it himself; or to bear the king's sword before him at his coronation, or on that day to be his sewer, carver, butler, or chamberlain. Petit sergeantry is where a man holdeth land of the king, to yield him yearly some small thing toward his wars: as a sword, dagger, bow, knife, spear, pair of gloves of mail, a pair of spurs, or such like.",,
Se'ries.,1. Sequence; order. 2. Succession; course.,,
SE'RIOUS.,1. Grave; solemn; not volatile; not light of behaviour. 2. Important; weighty; not trifling.,,
Se'riously.,Gravely; solemnly; in earnest; without levity.,,
Se'riousness.,Gravity; solemnity; earnest attention.,,
Sermocina'tion.,The act or practice of making speeches.,,
Sermocina'tor.,A preacher; a speechmaker.,,
Se'rmon.,A discourse of instruction pronounced by a divine for the edification of the people.,,
To Se'rmon.,1. To discourse as in a sermon. 2. To tutor; to teach dogmatically; to lesson.,,
Sero'sity.,Thin or watery part of the blood.,,
SE'ROUS.,1. Thin; watery. 2. Adapted to the serum.,,
Se'rpentine.,1. Resembling a serpent. 2. Winding like a serpent; anfractuous.,,
Se'rpentine Stone.,"There were three species of this stone known among the ancients, all resembling one another, and celebrated for the same virtues. They were all of the marble kind: the one was green, variegated with spots of black, thence called the black ophites; another, called the white ophites, was green also, but variegated with spots of white: the third was called tephria, and was of a grey colour, variegated with small black spots. The first species was chiefly used in medicine, and found by the ancients only in Egypt; but it is frequent in the desarts of Arabia, in the islands of the Archipelago, in Italy, and we have whole quarries of it in Wales. The ancients tell us, that it was a certain remedy against the poison of the bite of serpents; but it is now justly rejected.",,
Se'rpet.,A basket.,,
Serpi'ginous.,Diseased with a serpigo.,,
SERPI'GO.,A kind of tetter.,,
To Serr.,To drive hard together; to crowd into a little space.,,
Se'rrate. Se'rrated.,Formed with jags or indentures like the edge of a saw.,,
Serra'tion.,Formation in the shape of a saw.,,
Se'rrature.,Indenture like teeth of saws.,,
To Se'rry.,To press close; to drive hard together.,,
Se'rum.,"1. The thin and watry part that separates from the rest in any liquor, as in milk from the cream. 2. The part of the blood, which in coagulation separates from the grume.",,
Se'rvant.,"1. One who attends another, and acts at his command. The correlative of master. 2. One in a state of subjection. 3. A word of civility used to superiours or equals.",,
To Se'rvant.,To subject.,,
To SERVE. To Serve himself of. To Serve a warrant.,"1. To attend at command. 2. To obey servilely or meanly. 3. To supply with food ceremoniously. 4. To bring as a menial attendant. 5. To be subservient or subordinate to. 6. To supply with any thing. 7. To obey in military actions. 8. To be sufficient to. 9. To be of use to; to assist. 10. To promote. 11. To comply with. 12. To satisfy; to content. 13. To stand instead of any thing to one. To make use of. 15. To requite: To worship the Supreme Being. To seize an offender, and carry to justice.",,
To Serve.,"1. To be a servant, or slave. 2. To be in subjection. 3. To attend; to wait. 4. To act in war. 5. To produce the end desired. 6. To be sufficient for a purpose. 7. To suit; to be convenient. 8. To conduce; to be of use. 9. To officiate or minister.",,
Ser'viceable.,1. Active; diligent; officious. 2. Useful; beneficial.,,
Se'rviceableness.,1. Officiousness; activity. 2. Usefulness; beneficialness.,,
Se'rvile.,1. Slavish; dependant; mean. 2. Fawning; cringing.,,
Se'rvilely.,Meanly; slavishly.,,
Se'rvileness. Servi'lity.,"1. Slavishness; involuntary obedience. 2. Meanness; dependance; baseness. 3. Slavery, the condition of a slave.",,
Se'rving-man.,A menial servant.,,
Se'rvitor.,1. Servant; attendant. 2. One of the lowest order in the university.,,
Se'rvitude.,1. Slavery; state of a slave; dependance. 2. Servants collectively.,,
Sesquia'lter. Sesquia'lteral.,"In geometry, is a ratio, where one quantity or number contains another once and half as much more, as 6 and 9.",,
Se'squipedal. Sesquipeda'lian.,Containing a foot and a half.,,
Se'squiplicate.,"Is the proportion one quantity or number has to another, in the ratio of one half.",,
Sesquite'rtian.,"Having such a ratio, as that one quantity or number contains another once and one third part more; as between 6 and 8.",,
Sess.,Rate; cess charged; tax.,,
Se'ssion.,"1. The act of sitting. 2. An assembly of magistrates or senators. 3. The space for which an assembly sits, without intermission or recess. 4. A meeting of justices:",,
Se'sterce.,"Among the Romans, a sum of about 8 l. 1 s. 5 d. half-penny sterling.",,
To SET. To Set about. To Set against. To Set against. To Set apart. To Set aside. To Set aside. To Set aside. To Set by. To Set by. To Set down. To Set down. To Set down. To Set down. To Set forth. To Set forth. To Set forth. To Set forth. To Set forth. To Set forward. To Set in. To Set off. To Set on or upon. To Set on or upon. To Set on. To Set on or upon. To Set out. To Set out. To Set out. To Set out. To Set out. To Set out. To Set out. To Set up. To Set up. To Set up. To Set up. To Set up. To Set up. To Set up. To Set up.,"1. To place; to put in any situation or place; to put. 2. To put into any condition, state, or posture. To make motionless; to fix immoveably. To fix; to state by some rule. To regulate; to adjust. To fit to musick; to adapt with notes. To plant, not sow. To intersperse or mark with any thing. To reduce from a fractured or dislocated state. To fix the affection; to determine the resolution. To predetermine; to settle. To establish; to appoint; to fix. 13. To exhibit; to display; to propose. To value; to estimate; to rate. To stake at play. To offer a wager at dice to another. To fix in metal. To embarrass; to distress; to perplex. To fix in an artificial manner, so as to produce a particular effect. To apply to something. To fix the eyes. To offer for a price. To place in order; to frame. To station; to place. To oppose. To bring to a fine edge: as, to set a razor. To apply to. To place in a state of enmity or opposition. To oppose; to place in rhetorical opposition. To neglect for a season. To omit for the present. To reject. To abrogate; to annul. To regard; to esteem. To reject or omit for the present. To mention; to explain; to relate in writing. To register or note in any book or paper; to put in writing. To fix on a resolve. To fix; to establish. To publish; to promulgate; to make appear. To raise; to send out. To display; to explain. To arrange; to place in order. To show; to exhibit. To advance; to promote. To put in a way to begin. To decorate; to recommend; to adorn; to embellish. It answers to the French relever. To animate; to instigate; to incite. To attack; to assault. To employ as in a task. To fix the attention; to determine to any thing with settled and full resolution. To assign; to allot. To publish. To mark by boundaries or distinctions of space. To adorn; to embellish. To raise; to equip. To show; to display; to recommend. To show; to prove. To erect; to establish newly. To build; to erect. To raise; to exalt; to put in power. To place in view. To place in repose; to fix; to rest. To raise by the voice. To advance; to propose to reception. To raise to a sufficient fortune.",,
To Set. To Set about. To Set in. To Set on or upon. To Set on. To Set out. To Set out. To Set out. To Set to. To Set up. To Set up. To Set up.,"1. To fall below the horizon, as the sun at evening. 2. To be fixed hard. 3. To be extinguished or darkened, as the sun at night. 4. To fit musick to words. 5. To become not fluid. 6. To begin a journey. 7. To go, or pass, or put one's self into any state or posture. 8. To catch birds with a dog that sets them, that is, lies down and points them out; and with a large net. 9. To plant, not sow. 11. To apply one's self. To fall to; to begin. To fix in a particular state. To begin a march, journey, or enterprize. To make an attack. To have beginning. To begin a journey. To begin the world. To apply himself to. To begin a trade openly. To begin a project of advantage. To profess publickly.",,
Set.,Regular; not lax; made in consequence of some formal rule.,,
Set.,"1. A number of things suited to each other; a number of things of which one cannot conveniently be separated from the rest. 2. Any thing not sown, but put in a state of some growth into the ground. 3. The apparent fall of the sun, or other bodies of heaven, below the horizon. 4. A wager at dice. 5. A game.",,
Se'ton.,"A seton is made when the skin is taken up with a needle, and the wound kept open by a twist of silk or hair, that humours may vent themselves. Farriers call this operation in cattle rowelling.",,
Sette'e.,A large long seat with a back to it.,,
Se'tting Dog.,"A dog taught to find game, and point it out to the sportsman.",,
SETTLE.,A seat; a bench; something to sit on.,,
To Se'ttle.,"1. To place in any certain state after a time of fluctuation or disturbance. 2. To fix in any way of life. 3. To fix in any place. 4. To establish; to confirm. 5. To determine; to affirm; to free from ambiguity. 6. To fix; to make certain or unchangeable. 7. To fix; not to suffer to continue doubtful in opinion, or desultory and wavering in conduct. 8. To make close or compact. 9. To fix unalienably by legal sanctions. 10. To fix inseparably. 11. To affect so as that the dregs or impurities sink to the bottom. 12. To compose; to put into a state of calmness.",,
To Se'ttle.,1. To subside; to sink to the bottom and repose there. 2. To lose motion or fermentation; to deposite fæces at the bottom. 3. To fix one's self; to establish a residence. 4. To chuse a method of life; to establish a domestick state. 5. To become fixed so as not to change. 6. To quit an irregular and desultory for a methodical life. 7. To take any lasting state. 8. To rest; to repose. 9. To grow calm. 10. To make a jointure for a wife. 11. To crack as work sinks.,,
Se'ttledness.,The state of being settled; confirmed state.,,
Se'ttlement.,1. The act of settling; the state of being settled. 2. The act of giving possession by legal sanction. 3. A jointure granted to a wife. 4. Subsidence; dregs. 5. Act of quitting a roving for a domestick and methodical life. 6. A colony; a place where a colony is established.,,
SE'VEN.,1. Four and three; one more than six.,,
Se'venfold.,Repeated seven times; having seven doubles.,,
Se'venfold.,Seven times.,,
Se'vennight.,"1. A week; the time from one day of the week to the next day of the same denomination preceding or following; a week, numbered according to the practice of the old northern nations, as in fortnight.",,
Se'venscore.,Seven times twenty; an hundred and forty.,,
Se'venteen.,Seven and ten; seven added to ten.,,
Se'venteenth.,The seventh after the tenth; the ordinal of seventeen.,,
Se'venth.,The ordinal of seven; the first after the sixth. 2. Containing one part in seven.,,
S'eventhly.,In the seventh place; an ordinal adverb.,,
Se'ventieth.,The tenth seven times repeated; the ordinal of seventy.,,
Se'venty.,Seven times ten.,,
To Se'ver.,"1. To part by violence from the rest. 2. To divide; to part; to force asunder. 3. To separate; to put in different orders or places. 4. To separate by chimical operation. 5. To disjoin, to disunite. 6. To keep distinct; to keep apart.",,
To Se'ver.,To make a separation; to make a partition.,,
Se'veral.,1. Different; distinct; unlike one another. 2. Divers; many. 3. Particular; single. 4. Distinct; appropriate.,,
Se'veral.,1. A state of separation; or partition. 2. Each particular singly taken. 3. Any inclosed or separate place. 4. Inclosed ground.,,
Se'verally.,Distinctly; particularly; separately; apart from others.,,
Se'veralty.,State of separation from the rest.,,
Se'verance.,Separation; partition.,,
Seve're.,1. Sharp; apt to punish; censorious; apt to blame; hard; rigorous. 2. Rigid; austere; morose; harsh; not indulgent. 3. Cruel; inexorable. 4. Regulated by rigid rules; strict. 5. Exempt from all levity of appearance; grave; sober; sedate. 6. Not lax; not airy; close; strictly methodical; rigidly exact. 7. Painful; afflictive. 8. Close; concise; not luxuriant.,,
Seve'rely.,1. Painfully; afflictively. 2. Ferociously; horridly.,,
Seve'rity.,1. Cruel treatment; sharpness of punishment. 2. Hardness; power of distressing. 3. Strictness; rigid accuracy. 4. Rigour; austerity; harshness; want of mildness; want of indulgence.,,
Se'vocation.,The act of calling aside.,,
To Sew.,To follow.,,
To SEW.,To any thing by the use of the needle.,,
To Sew.,To join by threads drawn with a needle.,,
To Sew.,To drain a pond for the fish.,,
To Sew up.,To inclose in any thing sewed.,,
Sewer.,"1. An officer who serves up a feast. A passage for water to run through, 3. He that uses a needle.",,
Sex.,1. The property by which any animal is male or female. 2. Womankind; by way of emphasis.,,
Se'xagenary.,Aged sixty years.,,
Sexage'sima.,The second Sunday before Lent.,,
Sexage'simal.,Sixtieth; numbered by sixties.,,
Sexa'ngled. Sexa'ngular.,Having six corners or angles; hexagonal.,,
Sexa'ngularly.,With six angles; hexagonally.,,
Sexe'nnial.,Lasting six years; happening once in six years.,,
Se'xtain.,A stanza of six lines.,,
Se'xtant.,The sixth part of a circle.,,
Se'xtary.,A pint and a half.,,
Se'xtile.,"Is such a position or aspect of two planets, when at 60 degrees distant, or at the distance of two signs from one another, and is marked thus *.",,
Se'xton.,"An under officer of the church, whose business is to dig graves.",,
Se'xtary. Se'xtry.,The same as sacristy; a vestry.,,
Sextu'ple.,Sixfold; six times told.,,
To Shab.,To play mean tricks;,,
Sha'bander.,A great officer; a viceroy.,,
Sha'bbily.,Meanly; reproachfully; despicably; paltrily.,,
Sha'bbiness.,Meanness; paltriness.,,
Sha'bby.,Mean; paltry.,,
To Sha'ckle.,To chain; to fetter; to bind.,,
Sha'ckles.,Fetters; gyves; chains for prisoners.,,
Shad.,A kind of fish.,,
Shade.,"1. The cloud or opacity made by interception of the light. 2. Darkness; obscurity. 3. Coolness made by interception of the sun. 4. An obscure place, properly in a grove or close wood by which the light is excluded. 5. Screen causing an exclusion of light or heat; umbrage. 6. Protection; shelter. 7. The parts of a picture not brightly coloured. 8. A colour; gradation of light. 9. The figure formed upon any surface corresponding to the body by which the light is intercepted. 10. The soul separated from the body; A spirit; a ghost; manes.",,
To Shade.,1. To overspread with opacity. 2. To cover from the light or heat; to overspread. 3. To shelter; to hide. 4. To protect; to cover; to screen. 5. To mark with different gradations of colours. 6. To paint in obscure colours.,,
Sha'diness.,The state of being shady; umbrageousness.,,
Sha'dow.,"1. The representation of a body by which the light is intercepted. 2. Opacity; darkness; shade. 3. Shelter made by any thing that intercepts the light, heat, or influence of the air. 4. Obscure place. 5. Dark part of a picture. 6. Any thing perceptible only to the sight; a ghost; a spirit, or shade. 7. An imperfect and faint representation: opposed to substance. 8. Inseparable companion. 9. Type; mystical representation. 10. Protection; shelter; favour.",,
To Sha'dow.,"1. To cover with opacity. 2. To cloud; to darken. 3. To make cool or gently gloomy by interception of the light or heat. 4. To conceal under cover; to hide; to screen. 5. To protect; to screen from danger; to shroud. 6. To mark with various gradations of colour, or light. 7. To paint in obscure colours. 8. To represent imperfectly. 9. To represent typically.",,
Sha'dowy.,1. Full of shade; gloomy. 2. Not brightly luminous. 3. Faintly representative; typical. 4. Unsubstantial; unreal. 5. Dark; opake.,,
Sha'dy.,1. Full of shade; mildly gloomy. 2. Secure from the glare of light; or sultriness of heat.,,
Shaft.,"1. An arrow; a missive weapon. A narrow, deep, perpendicular pit. 3. Any thing strait; the spire of a church.",,
Shag.,1. Rough wooly hair. 2. A kind of cloth.,,
Sha'gged. Sha'ggy.,1. Ruggedly; hairy. 2. Rough; rugged.,,
Shagre'en.,"The skin of a kind of fish, or skin made rough in imitation of it.",,
To Sha'green.,To irritate; to provoke.,,
To Shail.,To walk sideways;,,
To Shake. To Shake hands. To Shake off.,"1. To put into a vibrating motion; to move with quick returns backwards and forwards; to agitate. 2. To make to totter or tremble. 3. To throw down by a violent motion. 4. To throw away; to drive off. 5. To weaken; to put in danger. 6. To drive from resolution; to depress; to make afraid. This phrase, from the action used among friends at meeting and parting, sometimes signifies to join with, but commonly to take leave of. To rid himself of; to free from; to divest of.",,
To Shake.,1. To be agitated with a vibratory motion. 2. To totter. 3. To tremble; to be unable to keep the body still. 4. To be in terrour; to be deprived of firmness.,,
Shake.,1. Concussion. 2. Vibratory motion. 3. Motion given and received.,,
Sha'ker.,The person or thing that shakes.,,
Shale.,A husk; the case of seeds in siliquous plants.,,
Shall. I Shall love. Shall I love? Thou Shalt love. Shalt thou love? He Shall love. Shall he love?,It will so happen that I must love; I am resolved to love. Will it be permitted me to love? Will you permit me to love? Will it happen that I must love? I command thee to love; it is permitted thee to love: it will happen that thou must love. Will it happen that thou must love? Will it be permitted to thee to love? It will happen that he must love; it is commanded him that he love. Is it permitted him to love? Will it happen that he must love?,,
Sha'lloon.,A slight woollen stuff.,,
Sha'llop.,A small boat.,,
Sha'llow.,1. Not deep; having the bottom at no great distance from the surface or edge. 2. Not intellectually deep; not profound; not very knowing or wise; empty; trifling; futile; silly. 3. Not deep of sound.,,
Sha'llow.,A shelf; a sand; a flat; a shoal; a place where the water is not deep.,,
Sha'llowbrained.,Foolish; futile; trifling; empty.,,
Sha'llowly.,1. With no great depth. 2. Simply; foolishly.,,
Sha'llowness.,1. Want of depth. 2. Want of thought; want of understanding; futility; silliness; emptiness.,,
Shalm.,A kind of musical pipe.,,
Shalt.,Second person of shall.,,
To Sham.,1. To trick; to cheat; to fool with a fraud; to delude with false pretences. 2. To obtrude by fraud or folly.,,
Sham.,Fraud; trick; delusion; false pretence; imposture.,,
Sham.,False; counterfeit; fictitious; pretended.,,
Sha'mbles.,1. The place where butchers kill or sell their meat; a butchery.,,
Sha'mbling.,Moving aukwardly and irregularly.,,
SHAME.,1. The passion felt when reputation is supposed to be lost; the passion expressed sometimes by blushes. 2. The cause or reason of shame; disgrace; ignominy. 3. Reproach.,,
To Shame.,1. To make ashamed; to fill with shame. 2. To disgrace.,,
To Shame.,To be ashamed.,,
Sha'mefaced.,Modest; bashful; easily put out of countenance.,,
Shamefa'cedly.,Modestly; bashfully.,,
Shamefa'cedness.,Modestly; bashfulness; timidity.,,
Sha'meful.,Disgraceful; ignominious; infamous; reproachful.,,
Sha'mefully.,Disgracefully; ignominiously; infamously; reproachfully.,,
Sha'meless.,Wanting shame; wanting modesty; impudent; frontless; immodest; audacious.,,
Sha'melessly.,Impudently; audaciously; without shame.,,
Sha'melessness.,Impudence; want of shame; immodesty.,,
Sha'mmer.,A cheat; an impostor.,,
Sha'mois.,A kind of wild goat.,,
Sha'mrock.,The Irish name for three leaved grass.,,
Shank.,1. The middle joint of the leg; that part which reaches from the ankle to the knee. 2. The bone of the leg. 3. The long part of any instrument.,,
Sha'nked.,Having a shank.,,
Sha'nker.,A venereal excrescence.,,
To SHAPE.,1. To form; to mould with respect to external dimensions. 2. To mould; to cast; to regulate; to adjust. 3. To image; to conceive. 4. To make; to create.,,
Shape.,"1. Form; external appearance. 2. Make of the trunk of the body. 3. Being, as moulded into shape. 4. Idea; pattern.",,
Sha'peless.,Wanting regularity of form; wanting symmetry of dimensions.,,
Sha'peliness.,Beauty or proportion of form.,,
Sha'pely.,Symmetrical; well formed.,,
Sha'pesmith.,One who undertakes to improve the form of the body.,,
Sha'rdborn.,Born or produced among broken stones or pots. Perhaps shard in Shakespeare may signify the sheaths of the wings of insects.,,
Sha'rded.,Inhabiting shards.,,
To SHARE.,1. To divide; to part among many. 2. To partake with others. 3. To cut; to separate; to sheer.,,
To Share.,To have part; to have a dividend.,,
Share.,1. Part; allotment; dividend. 2. A part. The blade of the plow that cuts the ground.,,
Sha'rebone.,The os pubis; the bone that divides the trunk from the limbs.,,
Sha'rer.,"1. One who divides, or apportions to others; a divider. 2. A partaker; one who participates any thing with others.",,
Shark.,1. A voracious sea-fish. 2. A greedy artful fellow; one who fills his pockets by sly tricks. 3. Trick; fraud; petty rapine.,,
To Shark.,To pick up hastily or slily.,,
To Shark.,1. To play the petty thief. To cheat; to trick.,,
SHARP.,"1. Keen; piercing; having a keen edge; having an acute point; not blunt. 2. Terminating in a point or edge; not obtuse. 3. Acute of mind; witty; ingenious; inventive. 4. Quick, as of sight or hearing. 5. Sour without astringency; sour but not austere; acid. 6. Shrill; piercing the ear with a quick noise; not flat. 7. Severe; harsh; biting; sarcastick. 8. Severe; quick to punish; cruel; severely rigid. 9. Eager; hungry; keen upon a quest. 10. Painful; afflictive. 11. Fierce; ardent; fiery. 12. Attentive; vigilant. 13. Acrid; biting; pinching; piercing, as the cold. 14. Subtile; nice; witty; acute. Hard. 16. Emaciated; lean.",,
Sharp.,1. A sharp or acute sound. 2. A pointed weapon; small sword; rapier.,,
To Sharp.,To make keen.,,
To Sharp.,To play thievish tricks.,,
Sharp-set.,Eager; vehemently desirous.,,
Sharp-sighted.,Having quick sight.,,
Sharp-visaged.,Having a sharp countenance.,,
To Sha'rpen.,"1. To make keen; to edge; to point. 2. To make quick, ingenious, or acute. 3. To make quicker of sense. 4. To make eager or hungry. 4. 5. To make fierce or angry. 5. 6. To make biting, or sarcastick. 6. 7. To make less flat; more piercing to the ears. 7. 8. To make sour.",,
Sha'rper.,A tricking fellow; a petty thief; a rascal.,,
Sha'rply.,1. With keenness; with good edge or point. 2. Severely; rigorously; roughly. 3. Keenly; acutely; vigorously. 4. Afflictively; painfully. 5. With quickness. 6. Judiciously; acutely; wittily.,,
Sharpness.,1. Keeness of edge or point. 2. Not obtuseness. 3. Sourness without austereness. 4. Severity of language; satyrical sarcasm. 5. Painfulness; afflictiveness. 6. Intellectual acuteness; ingenuity; wit. 7. Quickness of senses.,,
To Sha'tter.,1. To break at once into many pieces; to break so as to scatter the parts. 2. To dissipate; to make incapable of close and continued attention.,,
To Sha'tter.,"To be broken, or to fall, by any force applied, into fragments.",,
Sha'tter.,One part of many into which any thing is broken at once.,,
Sha'tterbrained. Sha'tterpated.,Inattentive; not consistent.,,
Sha'ttery.,Disunited; not compact; easily falling into many parts; loose of texture.,,
To Shave.,"1. To pare off with a razor. 2. To pare close to the surface. 3. To skim by passing near, or slightly touching. 4. To cut in thin slices. 5. To strip; to oppress by extortion; to pillage.",,
Sha'veling.,"A man shaved; a friar, or religious.",,
Sha'ving.,Any thin slice pared off from any body.,,
Shaw.,A thicket; a small wood.,,
Sha'wfowl.,An artificial fowl made by fowlers on purpose to shoot at.,,
Sha'wm.,A hautboy; a cornet.,,
Sheaf.,"1. A bundle of stalks of corn bound together, that the ears may dry. 2. Any bundle or collection held together.",,
To Sheal.,To shell.,,
To Shear.,1. To clip or cut by interception between two blades moving on a rivet. 2. To cut.,,
Sheard,A fragment.,,
Shea'rer.,One that clips with shears; particularly one that fleeces sheep.,,
Shea'rman.,He that shears.,,
Shea'rwater.,A fowl.,,
Sheath.,The case of any thing; the scabbard of a weapon.,,
To Sheath. To Sheathe.,1. To inclose in a sheath or scabbard; to inclose in any case. 2. To fit with a sheath. 3. To defend the main body by an outward covering.,,
Sheathwi'nged.,Having hard cases which are folded over the wings.,,
Shea'thy.,Forming a sheath.,,
She'cklaton.,"He went to fight against the giant in his robe of shecklaton, which is that kind of gilded leather with which they use to embroider the Irish jackets.",,
To Shed.,1. To effuse; to pour out; to spill. 2. To scatter; to let fall.,,
To Shed.,To let fall its parts.,,
Shed.,1. A slight temporary covering. Effusion;,,
She'dder.,A spiller; one who sheds.,,
Sheen.,Brightness; splendour.,,
Sheen. Shee'ny.,Bright; glittering; shewy.,,
Sheep.,1. The animal that bears wool: remarkable for its usefulness and innocence. A foolish silly fellow.,,
To Sheepbi'te.,To use petty thefts.,,
Shee'pbiter.,A petty thief.,,
Shee'pcot.,A little inclosure for sheep.,,
Sheepfo'ld.,The place where sheep are inclosed.,,
Shee'phook.,A hook fastened to a pole by which shepherds lay hold on the legs of their sheep.,,
Shee'pish.,Bashful; over-modest; timorously and meanly diffident.,,
Shee'pishness.,Bashfulness; mean and timorous diffidence.,,
Shee'pmaster.,An owner of sheep.,,
Sheeps Eye.,"A modest diffident look, such as lovers cast at their mistresses.",,
Sheepshea'ring.,The time of shearing sheep; the feast made when sheep are shorn.,,
Sheepwa'lk.,Pasture for sheep.,,
Sheer.,Pure; clear; unmingled.,,
Sheer.,Clean; quick; at once.,,
To Sheer off.,To steal away; to slip off clandestinely.,,
Sheet.,"1. A broad and large piece of linen. 2. The linen of a bed. In a ship are ropes bent to the clews of the sails, which serve in all the lower sails to hale or round off the clew of the sail; but in topsails they draw the sail close to the yard arms. 4. As much paper as is made in one body. 5. A single complication or fold of paper in a book. 6. Any thing expanded.",,
To Sheet.,1. To furnish with sheets. 2. To enfold in a sheet. 3. To cover as with a sheet.,,
Sheet- anchor.,"In a ship is the largest anchor; which, in stress of weather, is the mariners last refuge, when an extraordinary stiff gale of wind happens.",,
She'kel.,"An ancient Jewish coin equal to four Attick drachms, or four Roman denarii, in value about 2. s 6 d. sterling.",,
She'ldaple.,A chaffinch.,,
Shelf.,"A board fixed against a supporter, so that any thing may be placed upon it. 2. A sand bank in the sea; a rock under shallow water.",,
She'lfy.,1. Full of hidden rocks or banks; full of dangerous shallows. perhaps rocky.,,
Shell.,"1. The hard covering of any thing; the external crust. 2. The covering of a testaceous or crustaceous animal. 3. The covering of the seeds of siliquous plants. 4. The covering of kernels. 5. The covering of an egg. 6. The outer part of an house. 7. It is used for a musical instrument in poetry, 8. The superficial part.",,
To Shell.,To take out of the shell; to strip of the shell.,,
To Shell.,1. To fall off as broken shells. 2. To cast the shell.,,
She'llduck.,A kind of wild duck.,,
She'llfish.,"Fish invested with a hard covering, either testaceous, as oysters, or crustaceous, as lobsters.",,
SHE'LTER.,1. A cover from any external injury or violence. 2. A protector; a defender; one that gives security. 3. The state of being covered; protection; security.,,
To She'lter.,1. To cover from external violence. 2. To defend; to protect; to succour with refuge; to harbour. 3. To betake to cover. 4. To cover from notice.,,
To She'lter.,1. To take shelter. 2. To give shelter.,,
She'lterless.,Harbourless; without home or refuge.,,
She'lving.,Sloping; inclining; having declivity.,,
She'lvy.,Shallow; rocky; full of banks.,,
To Shend.,1. To ruin; to spoil; to mischief. 2. To disgrace; to degrade; to blame. 3. To overpower; to crush; to surpass.,,
SHE'PHERD.,1. One who tends sheep in the pasture. 2. A swain; a rural lover. 3. One who tends the congregation; a pastor.,,
She'pherdess.,A woman that tends sheep; a rural lass.,,
She'pherdish.,Resembling a shepherd; suiting a shepherd; pastoral; rustick.,,
"Shepherds Purse, or Pouch.",A common weed.,,
She'pherds Rod.,"Teasel, of which plant it is a species.",,
She'rbet.,The juice of lemons or oranges mixed with water and sugar.,,
Sherd.,The fragment of broken earthen ware.,,
SHE'RIFF.,An officer to whom is intrusted in each county the execution of the laws.,,
She'riffalty. She'riffdom. She'riffship. She'riffwick.,The office or jurisdiction of a sheriff.,,
She'rris. She'rris Sack. She'rry.,A kind of sweet Spanish wine.,,
Shide.,A board; a cutting.,,
Shield.,1. A buckler; a broad piece of defensive armour held on the left arm to ward off blows. 2. Defence; protection. 3. One that gives protection or security.,,
To Shield.,1. To cover with a shield. 2. To defend; to protect; to secure. 3. To keep off; to defend against.,,
To SHIFT.,"1. To change place. 2. To change; to give place to other things. 3. To change cloaths, particularly the linen. 4. To find some expedient; to act or live though with difficulty. 5. To practise indirect methods. 6. To take some method for safety.",,
To Shift. To Shift off.,"1. To change; to alter. 2. To transfer from place to place. 3. To put by some expedient out of the way. 4. To change in position. 5. To change, as cloaths. 6. To dress in fresh cloaths. To defer; to put away by some expedient.",,
Shift.,1. Expedient found or used with difficulty; difficult means. 2. Indirect expedient; mean refuge; last recourse. 3. Fraud; artifice; stratagem. 4. Evasion; elusory practice. 5. A woman's linen.,,
Shi'fter.,One who plays tricks; a man of artifice.,,
Shi'ftless.,Wanting expedients; wanting means to act or live.,,
Shill-i-shall-i.,The question of a man hesitating.,,
Shi'lling.,A coin of various value in different times. It is now twelve pence.,,
Shi'ly.,Not familiarly; not frankly.,,
Shin.,The forepart of the leg.,,
